sample,result
"[[5, 6, 6, 6, 6, 4], [3, 4, 4, 4, 4, 3], [2, 2, 3, 3, 3, 3], [2, 2, 2, 2, 1, 2], [1, 1, 1, 1, 0, 1]]",93416.5
"[[6, 6, 5, 6, 5, 5], [4, 4, 4, 4, 3, 3], [3, 3, 2, 3, 2, 3], [2, 2, 1, 2, 2, 2], [1, 1, 1, 1, 1, 0]]",97546.5
"[[6, 6, 5, 5, 5, 6], [3, 4, 4, 4, 3, 4], [3, 3, 3, 2, 2, 3], [2, 1, 2, 2, 2, 2], [1, 1, 0, 1, 1, 1]]",102879.5
"[[6, 4, 6, 6, 5, 6], [3, 3, 4, 4, 4, 4], [3, 2, 3, 3, 2, 3], [2, 2, 2, 2, 2, 1], [1, 1, 0, 1, 1, 1]]",97922.0
"[[6, 5, 5, 6, 5, 6], [3, 4, 4, 4, 4, 3], [2, 3, 3, 2, 3, 3], [1, 2, 2, 2, 2, 2], [1, 1, 1, 1, 1, 0]]",95269.5
"[[4, 6, 5, 6, 6, 6], [2, 4, 4, 4, 4, 4], [1, 3, 3, 3, 3, 3], [2, 2, 2, 2, 2, 1], [1, 1, 1, 1, 0, 1]]",93240.0
"[[4, 6, 6, 6, 6, 5], [4, 3, 4, 4, 3, 4], [3, 3, 3, 1, 3, 3], [2, 2, 2, 2, 2, 1], [1, 0, 1, 1, 1, 1]]",98371.5
"[[6, 5, 6, 5, 6, 5], [4, 4, 3, 4, 4, 3], [3, 2, 3, 3, 2, 3], [2, 2, 1, 2, 2, 2], [1, 1, 1, 1, 1, 0]]",96586.0
"[[6, 5, 5, 5, 6, 6], [4, 4, 3, 4, 4, 3], [3, 3, 3, 2, 2, 3], [2, 2, 2, 1, 2, 2], [1, 1, 1, 1, 1, 0]]",95489.5
"[[6, 5, 5, 5, 6, 6], [4, 3, 4, 4, 4, 3], [3, 3, 2, 3, 2, 3], [1, 2, 2, 2, 2, 2], [1, 1, 1, 0, 1, 1]]",100140.5
"[[5, 6, 6, 6, 6, 4], [4, 3, 4, 3, 4, 4], [3, 3, 3, 3, 3, 1], [2, 2, 1, 2, 2, 2], [0, 1, 1, 1, 1, 1]]",98942.5
"[[6, 6, 4, 5, 6, 6], [4, 4, 4, 2, 4, 4], [2, 3, 3, 3, 3, 2], [2, 1, 2, 2, 2, 2], [0, 1, 1, 1, 1, 1]]",100635.5
"[[5, 6, 5, 6, 6, 5], [4, 3, 4, 4, 4, 3], [3, 2, 2, 3, 3, 3], [1, 2, 2, 2, 2, 2], [1, 1, 1, 1, 0, 1]]",94884.5
"[[6, 6, 6, 4, 6, 5], [4, 4, 3, 3, 4, 4], [1, 3, 3, 3, 3, 3], [2, 2, 1, 2, 2, 2], [1, 1, 1, 0, 1, 1]]",101964.5
"[[5, 5, 6, 6, 5, 6], [3, 4, 4, 3, 4, 4], [3, 2, 2, 3, 3, 3], [2, 1, 2, 2, 2, 2], [1, 1, 1, 1, 0, 1]]",95314.5
"[[5, 6, 6, 5, 6, 5], [3, 3, 4, 4, 4, 4], [3, 2, 2, 3, 3, 3], [2, 2, 1, 2, 2, 2], [1, 1, 1, 1, 0, 1]]",95673.0
"[[5, 6, 5, 6, 6, 5], [4, 3, 4, 4, 3, 4], [2, 3, 2, 3, 3, 3], [1, 2, 2, 2, 2, 2], [1, 1, 1, 1, 1, 0]]",95031.5
"[[4, 6, 6, 5, 6, 6], [4, 3, 4, 4, 4, 3], [3, 3, 3, 2, 2, 3], [2, 1, 2, 2, 2, 2], [1, 1, 1, 1, 0, 1]]",95792.5
"[[5, 6, 6, 5, 5, 6], [3, 3, 4, 4, 4, 4], [2, 3, 3, 2, 3, 3], [2, 2, 2, 2, 1, 2], [1, 1, 1, 1, 0, 1]]",98375.5
"[[5, 5, 5, 6, 6, 6], [4, 3, 4, 3, 4, 4], [3, 3, 3, 2, 2, 3], [2, 2, 2, 2, 2, 1], [1, 1, 1, 1, 1, 0]]",93229.5
"[[5, 6, 5, 6, 5, 6], [4, 4, 3, 3, 4, 4], [3, 3, 3, 2, 3, 2], [2, 2, 2, 2, 2, 1], [1, 1, 1, 1, 1, 0]]",95550.0
"[[6, 5, 5, 6, 5, 6], [4, 4, 4, 2, 4, 4], [3, 3, 3, 2, 3, 2], [2, 2, 1, 2, 2, 2], [1, 1, 0, 1, 1, 1]]",99933.0
"[[6, 6, 5, 6, 4, 6], [4, 3, 3, 4, 4, 4], [3, 2, 3, 2, 3, 3], [2, 1, 2, 2, 2, 2], [1, 1, 1, 1, 1, 0]]",97506.0
"[[5, 6, 6, 5, 5, 6], [3, 3, 4, 4, 4, 4], [3, 2, 3, 3, 3, 2], [2, 2, 2, 1, 2, 2], [1, 1, 0, 1, 1, 1]]",100142.0
"[[5, 6, 6, 6, 5, 5], [4, 4, 3, 4, 4, 3], [3, 3, 3, 3, 2, 2], [2, 1, 2, 2, 2, 2], [1, 1, 1, 0, 1, 1]]",101373.0
"[[6, 6, 6, 5, 5, 5], [4, 4, 4, 4, 3, 3], [2, 3, 2, 3, 3, 3], [2, 2, 2, 1, 2, 2], [1, 1, 1, 0, 1, 1]]",102387.0
"[[4, 6, 6, 6, 5, 6], [3, 3, 4, 4, 4, 4], [3, 3, 2, 3, 2, 3], [2, 2, 2, 2, 2, 1], [1, 0, 1, 1, 1, 1]]",98657.5
"[[5, 5, 6, 6, 6, 5], [3, 3, 4, 4, 4, 4], [3, 3, 3, 1, 3, 3], [2, 2, 1, 2, 2, 2], [0, 1, 1, 1, 1, 1]]",99808.0
"[[6, 5, 5, 6, 5, 6], [4, 2, 4, 4, 4, 4], [2, 3, 2, 3, 3, 3], [2, 2, 2, 1, 2, 2], [1, 0, 1, 1, 1, 1]]",103171.5
"[[5, 6, 6, 6, 4, 6], [4, 4, 3, 4, 4, 3], [3, 3, 3, 3, 3, 1], [2, 2, 2, 2, 1, 2], [1, 0, 1, 1, 1, 1]]",99164.0
"[[6, 5, 6, 6, 4, 6], [4, 2, 4, 4, 4, 4], [2, 2, 3, 3, 3, 3], [1, 2, 2, 2, 2, 2], [0, 1, 1, 1, 1, 1]]",102701.0
"[[6, 6, 6, 6, 5, 4], [2, 4, 4, 4, 4, 4], [3, 2, 3, 2, 3, 3], [1, 2, 2, 2, 2, 2], [1, 0, 1, 1, 1, 1]]",101116.0
"[[5, 5, 6, 6, 5, 6], [3, 4, 4, 4, 4, 3], [3, 3, 3, 3, 2, 2], [2, 2, 2, 2, 2, 1], [1, 1, 1, 1, 1, 0]]",94513.0
"[[6, 6, 6, 3, 6, 6], [4, 4, 4, 4, 3, 3], [3, 3, 2, 3, 2, 3], [2, 2, 2, 2, 2, 1], [1, 1, 1, 0, 1, 1]]",103630.5
"[[5, 5, 6, 6, 5, 6], [4, 4, 4, 3, 4, 3], [3, 2, 2, 3, 3, 3], [1, 2, 2, 2, 2, 2], [0, 1, 1, 1, 1, 1]]",99834.0
"[[6, 6, 6, 5, 6, 4], [4, 4, 3, 4, 4, 3], [3, 3, 2, 2, 3, 3], [2, 2, 1, 2, 2, 2], [1, 1, 1, 0, 1, 1]]",100244.5
"[[6, 5, 6, 6, 6, 4], [4, 3, 4, 3, 4, 4], [3, 2, 3, 3, 3, 2], [2, 1, 2, 2, 2, 2], [1, 1, 1, 0, 1, 1]]",98824.0
"[[5, 5, 6, 6, 6, 5], [3, 4, 4, 4, 4, 3], [3, 3, 3, 1, 3, 3], [1, 2, 2, 2, 2, 2], [1, 1, 0, 1, 1, 1]]",97148.0
"[[6, 6, 5, 5, 6, 5], [4, 4, 4, 3, 4, 3], [3, 3, 3, 1, 3, 3], [2, 2, 2, 1, 2, 2], [1, 0, 1, 1, 1, 1]]",103664.5
